Anonymized Coursera ID,External Course ID,Term ID,External Student ID,First Name,Last Name,Email,Student ID,Original Assessment Grade: Program Policy Quiz (Passing Threshold: 1.0),Assessment Grade Override: Program Policy Quiz (Passing Threshold: 1.0),Submission Time (UTC): Program Policy Quiz,Item Weighting (Percentage): Program Policy Quiz,Points Scored: Program Policy Quiz,Points Total Possible: Program Policy Quiz,Plagiarism Flag Status: Program Policy Quiz,Plagiarism Flag Evidence: Program Policy Quiz,Original Assessment Grade: No Silver Bullet (Passing Threshold: 0.83),Assessment Grade Override: No Silver Bullet (Passing Threshold: 0.83),Submission Time (UTC): No Silver Bullet,Item Weighting (Percentage): No Silver Bullet,Points Scored: No Silver Bullet,Points Total Possible: No Silver Bullet,Plagiarism Flag Status: No Silver Bullet,Plagiarism Flag Evidence: No Silver Bullet,Letter Grade,Course Grade,Course Passed,Completed with CC,Present Grade
216285947,ed6061af-ff6e-43e4-b19a-1d55cee7e0d1,10,e49f087a-5fcf-4c15-9006-e08615b4c0cc,Zachary,Compton,ronnie32@example.org,216285947,0.62,0.66,2024-11-13 21:33:53,10,6,10,Flagged,,0.64,0.71,2024-06-29 21:33:53,10,6,10,Flagged,,F,92.1,Yes,Yes,77.66
418122576,25f561c4-cae0-4fb0-9fac-850868f913e2,6,738100f8-33f9-4b03-b514-904bea9a2501,Connie,Lopez,ndavis@example.org,418122576,0.77,0.62,2025-01-06 21:33:53,10,5,10,Not Flagged,,0.74,0.77,2024-07-26 21:33:53,10,8,10,Flagged,,C,84.07,Yes,Yes,90.07
631681314,b184da23-ca3b-4250-9fd6-6d49109605d7,6,a0c34a46-7cc7-4724-9b16-6fb1509102be,Jennifer,Ward,michaelhughes@example.net,631681314,0.53,0.51,2024-03-18 21:33:53,10,10,10,Flagged,,0.76,0.52,2024-12-10 21:33:53,10,5,10,Flagged,,C,62.79,Yes,No,71.43
754320136,8032b896-a8ca-442e-8440-f0a8a6fa7b13,2,1878beb7-0f92-43ba-9123-5881ec09e45d,Troy,Henderson,hblair@example.org,754320136,0.8,0.59,2025-01-09 21:33:53,10,5,10,Not Flagged,,0.64,0.54,2024-03-27 21:33:53,10,10,10,Not Flagged,,D,72.38,Yes,Yes,69.1
240239560,b96f952e-1177-41b1-9363-d2e699c2aba1,1,9cc22a88-885a-49b9-a92a-0f46cbce54fc,Nancy,Franklin,fletchermartha@example.com,240239560,0.9,0.96,2024-12-02 21:33:53,10,8,10,Flagged,,0.82,0.59,2024-03-22 21:33:53,10,6,10,Flagged,,C,98.91,Yes,No,63.04
562144723,44543f24-dc7c-4865-a09d-c710e5af98aa,8,20d1e921-77dd-48af-a066-7ee4d493de4e,Sharon,Martin,lgross@example.org,562144723,0.57,0.92,2025-03-05 21:33:53,10,5,10,Flagged,,0.67,0.69,2024-08-30 21:33:53,10,6,10,Flagged,,A,72.96,No,No,97.42
208870500,e477b4c4-d6a9-4b03-88fe-49ec8ae7a904,3,db3f8c9e-c802-427a-92d1-de14a09cbb97,Judy,Horton,craig49@example.com,208870500,0.77,0.8,2024-04-29 21:33:53,10,8,10,Not Flagged,,0.8,0.51,2024-11-23 21:33:53,10,6,10,Flagged,,A,66.37,No,Yes,72.28
290371042,46a72872-0e31-49ad-bc07-8f392cb1bcfb,3,2f7898b7-1e56-4728-9876-37b24f153cc6,Rebecca,Bailey,castanedaannette@example.org,290371042,0.83,0.87,2024-04-07 21:33:53,10,9,10,Not Flagged,,0.57,0.72,2025-03-05 21:33:53,10,7,10,Flagged,,C,75.16,No,Yes,82.42
178119056,88247367-e503-49d9-aff3-d27bacb48a08,3,015abd9f-f22e-4aed-8c3a-63e2655f5cd1,Eric,Pitts,miguel74@example.com,178119056,0.97,0.89,2024-12-28 21:33:53,10,5,10,Flagged,,0.63,0.76,2024-10-29 21:33:53,10,6,10,Not Flagged,,A,63.89,Yes,No,70.86
615014299,1ba6dd12-26d1-4280-902c-542e3e05633c,7,e11c7fda-7301-4d9e-8768-8cf126d8e2bb,Shelly,Hendricks,amclaughlin@example.net,615014299,0.85,0.76,2024-12-26 21:33:53,10,9,10,Flagged,,0.71,0.57,2024-09-19 21:33:53,10,9,10,Flagged,,C,99.71,No,Yes,60.6
