emplid,incoming grade,subject,catalog,section,class_nbr,first_name,last_name,email
418122576,D,MATH,1998,100,75252,Donna,Cisneros,fletcherjulie@example.net
562144723,C,MATH,3240,100,47418,Julie,Ward,penny94@example.com
754320136,W,BIO,1219,100,13057,Jennifer,Wilson,laurenellis@example.org
208870500,F,CSCA,1403,200,30352,Bobby,Page,david33@example.net
178119056,F,CSCA,2686,200,42761,John,Roberts,samanthakelley@example.net
692691532,C,MATH,1163,200,64510,Steven,Young,alyssafloyd@example.net
859165087,F,EMEA,1223,300,63450,Johnathan,Butler,cgarcia@example.org
421181109,C,EMEA,2230,300,10770,Corey,Oliver,joshuachapman@example.org
685406293,F,BIO,1889,100,93612,Mary,Bryant,kathryn25@example.org
646305975,A,BIO,1162,300,11761,Christopher,Allen,xanderson@example.com
